sentiment,weight,associated words
medication,74,"ago, start, amaze, see, effect, good, different, new, make, let, restore, easy, touch, better, gettting, expensive, clearly, time, experience, dangerous, oral, cost, continue, take, miracle, stop, recommend, seem, burn, try, truly, cause, reject, scar, work, wonderful, clear, relate, consider, treat, newer, mths, great, give, food, copaxion, use, first, feel"
dose,69,"pack, load, start, initial, test, weekly, 1st, go, enbrel, experience, 90mg, sixday, today, take, treatment, last, hurt, consecutive, loweringremoving, injection, high, increase, next, mg, third, change, get, 3rd, first, begin, second, 4th, receive, full, prescribe, dose, miss, lower, higher"
flare,68,"last, hospitalize, still, uc, start, get, experience, mild, severe, live, symptoms, nasty, take, first, headaches, 100, major, active"
medicine,65,"god, start, keep, ever, good, new, render, make, little, help, say, strong, best, suggest, treatments, naturopathic, take, miracle, recommend, last, free, steroids, try, folks, discontinue, request, work, wonderful, incorrect, thing, change, get, around, find, great, receive, give, wear, send, awesome, use, first, feel, prediagnosisfeeling"
shot,58,"sting, 2nd, make, 1st, manage, recieved, need, take, shoot, last, hurt, fourth, due, next, painful, present, clear, third, change, get, 3rd, second, punhah, boostershot, great, receive, give, offer, tend, first"
body,56,"ravish, push, ever, weak, become, entire, show, attack, back, scream, upper, part, much, felt, need, cover, grow, happen, stop, hurt, tbuild, itch, poor, areas, reject, work, clear, elderly, ache, race, metabolites, handle, produce, get, come, heal, pain, whole, sweat, feel, didnt"
methotrexate,56,"pills, etc, start, make, become, nauseapentasa, celebrex, take, infusions, stop, leave, painim, add, injection, try, medications, quit, injections, etc, mg, awful, im, get, light, also, dose, first, alone"
skin,51,"lesions, test, slough, worse, us, thin, infections, go, flake, excess, felt, bad, issue, look, dry, affect, burn, scaly, present, clear, come, patch, receive, fall, lotions, condition, feel"
nothing,47,"secs, test, tire, better, noticeable, else, help, expensive, alleviate, treatmentpen, serious, happen, short, try, work, allow, change, come, absolutely, arthritis"
fatigue,45,"notice, worsen, total, initial, horsecramping, iexperience, include, make, lift, set, rebif, happy, go, day, slight, much, sideeffect, serious, bad, minor, fistulas, chronic, fine, symptoms, severe, extreme, quit, increase, improvement, dog, chart, ache, mouth, disappear, get, challenge, symptom, sideeffects, fall, give, primarily, feel, chill"
week,45,"take, issue, many, go, get, 3, infusion, injections, next, 8th, work, appointment, intervals, almost, first, relax, last, third"
remission,43,"total, periods, weeks, lose, finally, since, disease, help, almost, achieve, treatment, last, uc, g, diseases, never, infusion, year, currently, maintain, still, miracledrug, already, sideeffects, reach, complete, full, true, fully"
hair,43,"start, follicles, eyebrow, grow, back, come, eyebrows, inotice, fall, serum, make, thinner, thin, extensionswigs, lose, shed, clear, stop"
miracle,37,"happy, go, carry, ive, hospitalise, person, drugeverything, drug, one, drug, true, wake, work, treatment, luckreader, feel, possible"
sideeffect,36,"notice, worst, push, believe, hairloss, hit, possible, say, go, experience, assume, small, though, postinfusion, headache, weightgain, take, stop, fatigue, seem, ive, symptoms, respiratoryinfection, common, greatest, raise, major, get, diarrhea, pain, genuine, migraines"
lot,35,"mention, help, smps, get, experience, try, see, remain, wear, cause, lose, eat, patient, read, take, kick"
day,35,"notice, tire, see, say, stay, single, groggy, walk, postinfusion, take, infusions, last, leave, fatigue, plan, next, maybe, weird, fall, offer, pain, first, feel"
dr,34,"end, start, keep, see, careful, different, put, say, think, suggest, cough, tell, take, stop, thank, plan, add, try, humidisease, increase, debilitate, sweet, listen, get, worry, prescribe, call, consider, order"
month,34,"take, work, 3rd, second, try, update, full, whole, injections, shots, next, past, single, entire, first, last, third"
im,32,"start, well, sleep, 26, figure, go, say, back, contract, cover, disappoint, write, recommend, old, batcrazy, affect, concern, get, 27, know"
insurance,31,"mandatory, pick, get, medical, check, even, company, great, try, want, good, let, pay, lose, cover, force"
everything,31,"else, hurt, change, imagine, get, come, think, story, try, explore, wish, 4, eat, work, fail, possible"
diet,30,"contribute, watch, good, ketogenic, help, regular, part, diet, herbs, always, cautious, steroids, try, healthy, balsalazide, maintain, nonstarch, change, get, follow, elimination"
relief,30,"fast, start, initial, provide, prefer, see, little, better, many, felt, bar, symptom, brief, live, relief, wonderful, sporadic, get, come, find, instant, give, prescribe, yield, feel"
improvement,29,"notice, start, immediate, see, make, easy, little, better, say, show, much, vast, bring, latter, thank, try, dramatic, saw, significant, flatter, feel, skinshow"
something,28,"start, interfere, ravish, good, new, put, something, wait, mandate, else, help, natural, need, bring, take, effective, try, soon, find, receive, know, turn, cheaper"
anything,24,"notice, smoke, see, walkdo, anything, else, positive, say, negative, tell, take, remember, available, eat, work, get, open, find, heavy, give"
inflammation,23,"issue, prevent, markers, get, confirm, stay, calm, stable, severe, uveitis, switch, colonoscopy, cause, decrease, work, active"
reaction,23,"weird, enbrel, expereinced, againsevere, delay, allergic, slight, severe, see, felt, serum, almost, horrible, bad, work, mild"
anyone,23,"else, notice, get, avoid, experience, elses, felt, know, suffer, tell, pay, sick"
quality,23,"eliminate, poor, choose, subside, give, quantity, prefer, try, want, inhibit, better, deteriorate, improve"
weight,22,"gain, blurayvision, stable, keep, average, get, body, regain, Out of range, healthy, put, normal, lose, loss, vitamins, 9lbs"
prednisone,21,"help, previously, add, drop, severe, much, try, felt, xantac, meloxicam, reduce, horrible, prescribe, months, take, ruin, hospitalize, fail"
work,21,"still, medicine, rebif, stiffness, hard, unable, heavy, treatment, worse, blood, forever, normal, also, want, luck, helpedantifungals, leave"
ms,21,"manage, 2014, come, symptoms, aggressive, identify, flare, put, shots, work, easy, present, take"
rheumatologist,20,"start, well, encourage, see, push, put, say, admit, switch, negative, treatment, recommend, stop, dianosed, work, saw, terrific, prescribe, research, pediatric, order"
way,20,"free, less, go, expensive, worse, longer, flu, felt, pain, 47, injections, better, exaggerate, feel, long"
difference,19,"notice, big, go, amaze, stay, immediate, believe, felt, make, periodwow, saw, stiff, feel, huge, remarkable"
surgery,19,"go, yet, doctor, plan, avoid, get, second, j, option, pouch, pin, impact, major, last"
energy,19,"vomit, level, say, energy, stay, low, much, lose, increase, disappoint, appetite, cramp, plummet"
immune,18,"systems, support, get, systemcouldnt, suppress, system, system, become, suppressant"
thing,17,"stress, worsen, worst, shortly, safest, help, say, best, metho, tell, treatment, happen, minor, affect, heres, complain, nasty, work, kick, challenge, find"
arthritis,17,"reactive, systems, start, get, come, symptoms, subside, control, flare, pain, tylenol, nothing, debilitate, later, clear, leave"
one,17,"take, else, work, get, find, share, good, single, talk, address, next, pay, explain, present, tell, develop, last"
diarrhea,16,"vomit, form, help, go, joint, worsen, worse, control, sideeffect, constant, cause, nausea, make, triple, improve"
legs,16,"achey, arm, tremble, joint, swell, spread, especially, front, huge, hairline, walk, elbow, lower, stiff, clear, difficulty"
rash,15,"notice, start, seem, significant, itchy, get, part, red, turn, continue, develop"
couple,15,"trip, get, name, days, past, take, first"
whole,15,"form, film, body, time, body, backshoulderneckpain, house7, week, course, month, life"
hospital,15,"end, problems, get, teach, stay, constantly, local, shriners, pay, leave"
success,15,"start, show, find, great, try, much, little, painful, limit"
home,14,"remedy, go, stay, come, return, send, injections, leave"
cost,14,"people, 19000, decidingfactor, get, outrageous, reason, try, high, cover, concern, decrease, obscene, pay"
luck,14,"start, go, cosentyx, good, tmean, dizzytell, work, diseaseies"
everyone,13,"else, gain, help, keep, liartill, thank, know, different, benefit, suffer, respond"
effect,13,"notice, collateral, absolutely, loose, full, lose, pronounce, take, effect, feel, last, averagepoor"
relapse,13,"second, single, horrible"
blood,13,"test, body, check, count, turn, cells, cough, lose, work, completely"
test,13,"stress, positive, show, come, tb, check, spinal, result, skin, third"
bowel,13,"fistulizing, resections, treat, symptoms, surgeries, movements, struggle, rejections"
risk,13,"choice, worth, indicate, minimum, associate, life, braininfection"
colon,12,"issue, get, fine, look, heal, remove, better"
side,12,"opposite, depression, right, affect, symptoms, usually, efferct, maternal, interest"
stomach,12,"hurt, inject, viruses, include, great, make, bad, mess, deflatel, bloat, upset, ache"
itchy,12,"feet, super, less, rash, patch, cause, rashes, scaly, incredibly"
head,12,"embarrass, thick, go, nod, worst, femoral, dizzy, cold, stiff, turn, reduce, kill, hand, stubborn, bilateral"
husband,12,"start, sign, treatment, push, lose, take"
jc,12,"positive, negativeuntil, test, come, word, negative"
nausea,11,"appear, go, floor, weekly, constant, pain, dizziness, headaches, headachesmigraines, chill"
trouble,11,"spot, head, much, give, cause, sleep"
age,11,"62, female, evaluate, male, flare, 23, better, treatment"
wish,11,"share, remain, drug, id, tamper, tneedless"
flu,11,"way, symptoms, severe, like, set"
problem,11,"go, fistula, recent, bleed, serious, work, potatoes, happen, biggest"
dermatologist,11,"start, go, say, try, suggest, shock, put, cover, tell, take, assure"
headache,11,"get, hope, sideeffect, high, bad, terrible, mild, major"
sore,11,"get, back, sinuses, tire, eye, toe, bone, stomach, throat"
issue,11,"joint, inflammation, cause, week, become, interest, possible, biggest"
damage,10,"nerve, free, joint, catch, minimal, much, repair, slow, diagnose"
chance,10,"second, give, new, take, last"
biologic,10,"medicine, right, find, try, treatment, make, therapytreatment, work, treatment, first"
gi,10,"optimistic, doctor, distress, symptoms, remission, want, wonderful"
system,10,"issue, help, virus, suppress, believe, immune, digestive, weak, lower, completely"
option,10,"get, surgery, therapytreatment, 21day, really, better, treatment, last, drugtrial"
term,10,"gain, say, affect, sideeffects, pregnancy, full, long, use, effect, last"
hope,10,"disease, happy, go, useless, give, lose, it, take, golden, fail, last"
control,10,"disease, skinrash, minimal, uc, horribly, really, quick, take, completely"
job,10,"hold, keep, excellent, new, quit, lose, better, sensitive"
mg,10,"inject, methotrexate, receive, weeks, imuran, shots, dose"
infection,10,"chronic, urinary, type, get, develop, fight, viral, shoulder, knees, staph, painful, sinus"
dont,10,"hurt, remember, forget, know, put, waste, force, feel, afraid"
area,10,"end, groin, biologics, worst, check, abdominal, aria, spine, terminal, use, mostly"
loading,10,"initial, 3rd, injection, dosages, cry, dose"
rebif,10,"copaxoneavonex, copaxone, injections, work, andor"
lucky,9,"lot, test, winner, alive, really, treatment, stroke, feel"
colonoscopy,9,"show, confirm, inflammation, recent, last"
dosage,9,"free, old, start, effective, right, max, prescribe, increase, decrease, next, establish, lower"
condition,9,"worsen, joint, get, come, begin, rare, fluctuate, neurological, deteriorate"
someone,9,"feet, else, help, start, know, pay, suffer, take, able"
help,9,"take, deny, get, needle, sideeffects, great, try, fight, treatmentaria, continue, treatment, huge"
amount,9,"go, get, muscle, small, halve, larger, give, annoy, lose, substantial, crazy, use, uncertain"
doc,9,"say, get, try, ask, put, deny, tell"
feeling,9,"awful, shaky, body, muscle, patchy, strange, exhaust, constantly, wake, hot, syndrome, flush"
cough,9,"sure, light, cause, suffer, bad, increase, develop, hiccup, ache"
night,9,"go, full, sweat, first, feel, especially"
self,9,"inject, find, put, injections, walk, esteem, medicate"
depression,9,"side, get, hope, concern, laugh, set, fearwithdrawal, tinnitus, mention"
stiffness,9,"experience, move, breath, weigh, little, take, betterno"
advice,9,"start, medical, doctor, sons, great, death, follow, take, first, slack"
plaque,9,"psoriasispatch, psoraisis, go, psoriasis"
notice,9,"change, sign, sideeffects, also, psoriasis, later, effect"
food,9,"affect, medication, projectile, eat, intake, chemicals, become, digest"
copaxone,9,"avonex, rebif, start, take, relapse, fail"
try,8,"give, good, love, feel"
lbs,8,"gain, 10, lose, psoriasis"
research,8,"disease, new, rheumatologist, suggest"
point,8,"worst, need, walk, function, feel"
diagnosis,8,"disease, initial, diseases, catch, august, 2019, give, new, definitive, 2015, feel"
knee,8,"hurt, right, pain, need, shoulder, leave"
person,8,"average, miracle, normal, take, feel"
change,8,"notice, love, amaze, try, make, take, subtle"
plaquenil,8,"seem, help, think, try, quit, celebrex, enbreltreatment, take, first"
effectiveness,8,"unrivaled, boost, rate, loose, continue, stop"
itching,8,"free, start, calm, severe, sideeffects, thing, redness, intolerable, stop, last"
nurse,8,"say, instruct, share, know, register, dizzytell, practitioner"
stuff,8,"poison, medicineyep, work, claim, take, ruin, remarkable, kick"
hip,8,"dislocate, get, back, right, muscle, severe, receive, cause"
throat,8,"start, sore, strep, eat, scratchy, lips"
sclerosis,8,"medications, medicine, multiple"
symptom,7,"free, get, eliminate, remain, almost, relief"
part,7,"take, big, move, small, diet, become, better"
deal,7,"start, well, big, spend, great, try, suffer, huge, infusions"
none,7,"experience, help, cyclosporine, work"
use,7,"get, regain, anymore, full, partial, want, cease, long"
idea,7,"go, ocrevus, like, work, wrong"
review,7,"help, revise, post, see, update, good, write"
bit,7,"notice, fade, save, little, take"
flareup,7,"expensive, dislocate, experience, single, notable, suffer, oneweek, major"
walking,7,"issue, get, worse, draggingcarrying, around, poor, treatment, gait, become"
send,7,"god, medicine, initially, far, drug, treatment, able"
appetite,7,"back, energy, low, lose, grow"
feel,7,"day, dizzylightheaded, tire, dont, great, good, name, rubbish, better"
fever,7,"less, sideeffects, run, become, chill"
id,7,"say, get, choose, dream, hard, tear"
cancer,7,"free, rare, thyroid, get"
case,7,"sure, severe, aggressive, bad, maybe, develop, mild"
reduction,7,"profound, notice, show, see, bring, partial, injections, serious, treatment, major"
glad,7,"able, effective, get"
sinus,7,"issue, problems, infection, infections, congestion, headaches"
progression,7,"lesions, slight, stabalized, slow, mris, stop"
hand,7,"dominant, change, hop, right, lift, wash, tremor"
vision,7,"go, blur, get, severe, cut, peripheral, sleep, reducedblurred"
balance,7,"issue, attitude, make, mental, lose, walk, unsteadiness"
muscle,7,"spasms, pain, fasciculations, ache"
son,6,"hold, treatment, start"
health,6,"issue, mother, important, diminish, ail"
difficulty,6,"mostly, legs, pop, difficulty"
rest,6,"history, enough, get, live, cover, sleep"
while,6,"take, short"
resort,6,"aside, last"
daughter,6,"take, 13, feel, oldest"
morning,6,"early, go, next, cramp, especially"
water,6,"get, aerobics, infections, intake, take, clear"
sleep,6,"accompany, get, spread, poor, great, coulnt, able, feel"
share,6,"experience, one, story, wish, want, drugtestimony"
heart,6,"race, go, fine, flutter, stop"
specialist,6,"allow, change, begin, intestinal, see, put, take, gastro"
mobility,6,"lot, start, allow, help, back, pain"
uveitis,6,"inflammation, stop, ago, get"
swelling,6,"go, joint, transform, lip, involve, reduce, almost, increase, develop, manifestation"
ear,6,"nerve, middle, connect, infections, canal"
lung,6,"feet, problems, complications, clear, spasm, infections"
type,6,"work, uc, infection, secondary, see, viral, diabetes"
cane,6,"use, need, tire"
trial,6,"show, clinical, receive, patients, last"
increase,6,"notice, significant, real, flare, pml, 9lbs"
eye,6,"twitch, right, lids, leave"
face,6,"close, red, see"
nerve,5,"damage, get, alternate, conduction, pinch"
potential,5,"become, full, sideeffects, lymphoma"
date,5,"experience, fatigue, due"
appointment,5,"recent, request, make, week, next"
remicaid,5,"start, switch, prescribe, cover, fill"
patient,5,"disease, lot, diseases, uc, support, new"
loss,5,"drs, feet, effective, weight, stop, major"
colitis,5,"ulcrative, get, symptoms, ulerative, ulcerative"
course,5,"seem, short, best, whole, rethink, run, biological, require"
shoulder,5,"joint, infection, right, knee, finger, painful, muscledeterioration"
mother,5,"old, take, treatment, get"
female,5,"old, age, start, suffer"
line,5,"picc, second, pic, drug, first"
number,5,"65, improve, try"
father,5,"husbandpotential, start, go, die"
scan,5,"best, ct, say"
period,5,"short, experience, stomachpain, wait, irregular, ridiculous, long"
redness,5,"slight, inject, go, itch"
celebrex,5,"methotrexate, daily, plaquenil, take, stop"
needle,5,"sting, ihavent, burn, small, feel"
dizziness,5,"keep, experience, invisible, constant, hairloss, nausea, occasional"
end,5,"specialist, hips, area, rear, hospital"
exercise,5,"less, nsaids, daily"
reason,5,"intivio, odd, foggy, give, reject, cost, boxlabel, downside"
d,5,"take, diet, vitamin"
care,5,"take, really"
level,5,"experience, need, remain, hope"
entyvio,5,"pouch, take"
pml,5,"pll, increase, back"
frequency,4,"issue, urinary, much, slow, increase"
choice,4,"risk, make, best, recommend"
asacol,4,"take, imuran, work"
lialda,4,"prednisonecanasa, take, uceris, micah"
dizzy,4,"headaches, feel, spell"
drs,4,"replace, change, need, loss, tell, hip"
immunity,4,"grow, lower, take, build"
plan,4,"best, find, give, new, dump, save, stop"
imuran,4,"asacol, try, prescribe, work, mg, fail"
college,4,"dorms, years"
guess,4,"also, overall"
arm,4,"right, inject, get, leave"
benefit,4,"company, feel, receive, see"
lasting,4,"symptoms, effect, longer, relief"
mouth,4,"dry, fatigue, ulcers"
chest,4,"tight, pain, tighten, start"
m,4,"old, take, start"
lupus,4,"give, discoid, dil, develop, induce"
therapy,4,"start, uvb, light, continue, dual"
gut,4,"pain, along, look"
fda,4,"call, need, approve"
neck,4,"especially, start, shoulder, freeze"
function,4,"liver, normally, struggle, good"
price,4,"high, pay, make, enormous"
illness,4,"free, progress, relate, constant, original"
stage,4,"fiberscan, puberty, fiberscorelabs, like"
pneumonia,4,"edema, think, intense, serious, infections, discover"
school,4,"high, start, medical"
respiratory,4,infections
disability,4,"end, permanent, keep"
coverage,4,"become, amaze"
weakness,4,"experience, overall, significant, finger"
wheelchair,4,"truck, biologic, almost"
woman,4,"want, healthy, mezzavant, work, active"
heard,4,"result, risk"
oil,4,"dry, virgin, put, take, olive"
family,4,"different, happy, raise, switch"
necrosis,4,"avascular, cause, kill"
stay,4,"away, inflammation, awake, take, hospital"
tiredness,4,"experience, extreme"
aria,4,"treatment, area, infusions"
thank,4,"improvement, dr"
scope,4,"c, best, last, await"
man,4,"old, spider, new, call, hi"
virus,4,"get, system, cause, become, latent"
suboxone,4,"take, go"
jcv,4,"patients, positive, antibodies, test"
variety,3,"begin, go"
assistance,3,"give, financial, program, receive"
remicaide,3,"contnuing, wtihmtx, 5mg"
warning,3,"speak, sign, leave"
imagine,3,insurance
state,3,"new, achhsim, constant"
cycle,3,"start, find, 28day"
kind,3,long
havent,3,"felt, first"
bed,3,"time, pain"
office,3,doctor
program,3,"cover, find, decrease"
wait,3,"make, soon"
micah,3,lialda
nightmare,3,"icu, start, spread, stop"
benadryl,3,"take, injection, much"
blockage,3,"lungs, get, think, last"
vaccine,3,"new, live"
today,3,"put, dose"
spread,3,"symptoms, rapid, proctitis, wide, nightmare"
acid,3,"esters, unbarable, citric, refluxmedicine"
restroom,3,"scoping, use"
august,3,"diagnosis, get"
decrease,3,"steadily, begin, experience, dramatic"
truck,3,"hurt, mach, mack, wheelchair, hit"
tb,3,test
move,3,"experience, ’, next, gon, cant"
sickness,3,serum
story,3,"possiblelong, look, great, share, everything, research, long"
elimination,3,diet
response,3,"send, show, fantastic"
government,3,"canadian, cover, mandate"
list,3,"wait, go, scare"
fibromyalgia,3,"disease, endometriosis, say"
shock,3,"still, septic, medicineive, push"
death,3,"advice, cause"
future,3,"jointdamage, near, sideeffects"
burning,3,"feet, intense, pain, swell"
football,3,"throw, play"
sting,3,"hurt, needle, slight"
shortness,3,"affect, currently, continue"
rating,3,give
iritis,3,"develop, severe, get"
memory,3,"issue, come, problems, sadness"
brain,3,"foggy, dangerous"
history,3,"rest, know, general"
mood,3,"swing, great, get"
company,3,"go, well, produce, one, make"
talk,3,"recommend, disappear, backwards"
ability,3,"poor, physical"
spine,3,"area, cervical, knees"
winter,3,"months, help, worst"
summer,3,"happy, 1st, year"
weather,3,"hot, especially, cold"
thyroid,3,"cancer, nodules"
maintenance,3,"start, monthly, dose"
booster,3,"shots, shotyesterday"
sense,3,make
medicare,3,"guidelines, cover"
cause,3,"budesonide, work"
shame,3,"make, allow, ever"
recovery,3,"complicate, wifes, long"
cramping,3,"bleed, make, abdominal"
form,3,"new, whole, knot"
faster,3,"heal, clear, walk"
picc,3,line
alot,3,"pay, help, get"
march,3,"disease, 5th, early, tomorrow"
top,3,"right, kill"
house,3,leave
chemo,3,"patients, receive, cytoxen"
bathroom,3,"visit, go, haunt"
travel,3,"drive, get"
intestine,3,"large, small"
question,3,"take, save, ask, work"
struggle,3,"daily, lifelong, much"
guarantee,3,"medicine, things"
entivyo,3,"disease, stop"
piriton,3,"iv, give"
nhs,3,"hold, unit, decide"
bunch,3,"get, hought"
consultant,3,"tell, say"
birthday,3,"18th, take, 23rd, soon"
set,3,"serious, 3rd, back"
cyclosporine,3,"treatment, miracle, enbrel, phase"
walker,3,use
anxiety,3,"get, ears, severe"
hour,3,"take, extra"
bloody,2,"stool, nose"
want,2,"take, go, really"
covid19,2,"pandemic, mention"
mandatory,2,"change, switch, insurance"
ostomy,2,wear
surgeon,2,confirm
force,2,"meds, full, dont, feel"
plaquinel,2,"discontinue, also, along"
combination,2,work
suffering,2,"disastrous, much"
boost,2,"give, get"
attitude,2,"balance, positive, mental"
downside,2,huge
pay,2,"company, sadly, insurance"
orencia,2,"felt, try"
synovectomy,2,double
tylenol,2,"arthritis, 3s"
horror,2,stories
stress,2,"test, play"
opportunity,2,know
onset,2,sudden
pentasa,2,pentasa
tendency,2,
helps,2,
practitioner,2,"say, general, put, nurse, discover"
sulfasalazine,2,"take, allergic"
pack,2,"take, starter, prescribe, dose"
range,2,"normal, improve"
portion,2,"upper, cover, large, help"
specific,2,"diet, carbohydratediet"
box,2,"black, warn"
sign,2,"sure, show"
palms,2,"feet, orderitchy, swell"
faint,2,"felt, go"
baby,2,
heat,2,"treatment, summerthank, rash"
xeljanz,2,"treatment, try, see"
round,2,"continual, finish, 2nd"
forget,2,"almost, dont, work"
lifestyle,2,"resume, live, include, active"
rheumatolgist,2,"take, start"
sero,2,disease
spot,2,"ice, use, also, pick"
mom,2,"take, happy, find"
pf,2,doctor
spondylitis,2,"anklylosing, ankylose"
efficacy,2,"start, lose"
inhalation,2,full
vicodin,2,"drug, take, help, change"
tennis,2,play
humidisease,2,"begin, take"
button,2,push
post,2,"edit, op, find"
hla,2,b27
exhaustion,2,"cause, horrible"
combo,2,"become, help"
flex,2,"full, partial"
humria,2,"infusion, clear"
leukaemia,2,"fight, find"
nonstarch,2,diet
lack,2,total
groin,2,area
physician,2,switch
clearing,2,"obvious, initial, ask"
cream,2,"make, fortunate"
support,2,"immune, better, great"
reumatologist,2,"saw, test, see"
lethargy,2,"chronic, nausea"
star,2,"give, treatment"
candida,2,"systemic, severe"
foot,2,"drop, leave"
site,2,reactions
mid,2,"patient, afternoondinner"
cant,2,"move, exhaust"
scale,2,lose
grade,2,"1st, fourth"
meloxicam,2,"stop, prednisone"
pray,2,give
cimza,2,take
speak,2,"away, warn"
mine,2,"cause, apex"
scaly,2,"skin, itchy"
ache,2,"back, cough, cold, chill"
otezla,2,try
car,2,"new, owe, buy, fancy"
build,2,"immunesystem, antibodies"
wore,2,"short, orencia, dose"
avn,2,develop
migraine,2,"cause, terrible, daily"
result,2,"less, treatment, try"
cimzia,2,"good, suggest"
board,2,"draw, sam, arthralgia"
gain,2,"weight, cause"
icu,2,nightmare
walk,2,"still, dose"
toll,2,"take, huge"
manufacturer,2,"give, rat"
squeeze,2,light
fibrosis,2,"give, interstitial, fiberscan, come"
progress,2,"far, uc"
living,2,make
april,2,"lead, third"
emergency,2,colonectomy
half,2,go
cat,2,allergy
interest,2,"suck, best"
step,2,"medicine, next"
cholesterol,2,"high, 280170, show"
tumor,2,doctor
bp,2,"level, get"
ankle,2,bone
