text_index,medication,rate,comment,cleaned_comment,Treatment name,Treatment code,Disease,sentiment,sentiment_score
1,remicade infliximab for rheumatoid arthritis,,My wife had RA from when she was a child. She had used the normal meds till remicade. She was in Japan and started on remicade in Apr 2007 and die in Feb 2008 from the reactions/side effect to it. I advise that if you get any of the side effect symptoms to see your doctor right away. I have found that if you get one symptom you will get more. There are 3 pages of side effects/reactions.,found get one symptom get more.,remicade,infliximab,rheumatoid arthritis,NEGATIVE,0.9823917746543884
1,remicade infliximab for rheumatoid arthritis,,My wife had RA from when she was a child. She had used the normal meds till remicade. She was in Japan and started on remicade in Apr 2007 and die in Feb 2008 from the reactions/side effect to it. I advise that if you get any of the side effect symptoms to see your doctor right away. I have found that if you get one symptom you will get more. There are 3 pages of side effects/reactions.,3 page side effects/reactions.,remicade,infliximab,rheumatoid arthritis,NEGATIVE,0.9283196330070496
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",medication treatment_name made constant pain.,remicade,infliximab,ulcerative colitis,NEGATIVE,0.9975726008415222
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",slept two month 20 hour day.,remicade,infliximab,ulcerative colitis,NEGATIVE,0.9538325071334839
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",felt depressed.,remicade,infliximab,ulcerative colitis,NEGATIVE,0.9997767806053162
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",body pain everywhere covered rash.,remicade,infliximab,ulcerative colitis,NEGATIVE,0.9945003986358643
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",part body permanent nerve damage month got it.,remicade,infliximab,ulcerative colitis,NEGATIVE,0.9940966367721558
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.","specialist told hard diagnose nerve damage, matters.",remicade,infliximab,ulcerative colitis,NEGATIVE,0.9716914296150208
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",everyone liar till doctor prof it?,remicade,infliximab,ulcerative colitis,NEGATIVE,0.998591959476471
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",specialist wanted go back it.,remicade,infliximab,ulcerative colitis,NEGATIVE,0.9968739748001099
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",said really want go again.,remicade,infliximab,ulcerative colitis,POSITIVE,0.9958301186561584
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",specialist would leave alone.,remicade,infliximab,ulcerative colitis,NEGATIVE,0.9960151314735413
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",mentioned covid-19 said make difference treatment_name not.,remicade,infliximab,ulcerative colitis,NEGATIVE,0.9970226883888245
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.","oh okay, guess test nothing then?",remicade,infliximab,ulcerative colitis,NEGATIVE,0.9966500401496887
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",without specialist.,remicade,infliximab,ulcerative colitis,NEGATIVE,0.9992160797119141
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",talked family doctor saying refusing treatment.,remicade,infliximab,ulcerative colitis,NEGATIVE,0.9978533387184143
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",family doctor treating like wasting people's time.,remicade,infliximab,ulcerative colitis,NEGATIVE,0.9995821118354797
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",suspect exactly people become homeless.,remicade,infliximab,ulcerative colitis,NEGATIVE,0.992464542388916
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",rights?,remicade,infliximab,ulcerative colitis,POSITIVE,0.7064267992973328
2,remicade infliximab for ulcerative colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",people consider specialist might value money life.,remicade,infliximab,ulcerative colitis,NEGATIVE,0.9899853467941284
3,inflectra infliximab for crohns disease,1.0,"I have Fistulizing Crohn's, dx'd 6 yrs ago @ 36yo- 11 surgeries since then: abscesses, fistulae, drains. 
Years of my life, my career, independence & ability to have biological children lost but Remicade saved my life. I've been in Remission since early 2018-.Trough levels in high 20's.
At JUST that time, my insurance made mandatory switch: ALL patients on Remicade to Inflectra. Since that time, trough levels have steadily dropped to where I'm near rejection & TERRIFIED to start developing abscesses & fistulas again- I'd rather die. Seriously.
I'm now writing to Medicare Commissioner who's probably some paper pusher w/o any IBD training to SAVE MY LIFE & give back my Remicade. Insanity. My doctor is  writing a letter on my behalf but she told me that she has been denied EVERY SINGLE TIME she's requested her patients moved BACK to Remicade. It's criminal that insurance companies pick drug therapy for a disease that literally BURROWS HOLES through my body. I am only 42 & deserve a chance.","fistulizing disease's, dx'd 6 yr ago @ 36yo- 11 surgery since then: abscesses, fistulae, drains.",inflectra,infliximab,crohns disease,NEGATIVE,0.9974297881126404
3,inflectra infliximab for crohns disease,1.0,"I have Fistulizing Crohn's, dx'd 6 yrs ago @ 36yo- 11 surgeries since then: abscesses, fistulae, drains. 
Years of my life, my career, independence & ability to have biological children lost but Remicade saved my life. I've been in Remission since early 2018-.Trough levels in high 20's.
At JUST that time, my insurance made mandatory switch: ALL patients on Remicade to Inflectra. Since that time, trough levels have steadily dropped to where I'm near rejection & TERRIFIED to start developing abscesses & fistulas again- I'd rather die. Seriously.
I'm now writing to Medicare Commissioner who's probably some paper pusher w/o any IBD training to SAVE MY LIFE & give back my Remicade. Insanity. My doctor is  writing a letter on my behalf but she told me that she has been denied EVERY SINGLE TIME she's requested her patients moved BACK to Remicade. It's criminal that insurance companies pick drug therapy for a disease that literally BURROWS HOLES through my body. I am only 42 & deserve a chance.","year life, career, independence & ability biological child lost treatment_name saved life.",inflectra,infliximab,crohns disease,POSITIVE,0.9734105467796326
3,inflectra infliximab for crohns disease,1.0,"I have Fistulizing Crohn's, dx'd 6 yrs ago @ 36yo- 11 surgeries since then: abscesses, fistulae, drains. 
Years of my life, my career, independence & ability to have biological children lost but Remicade saved my life. I've been in Remission since early 2018-.Trough levels in high 20's.
At JUST that time, my insurance made mandatory switch: ALL patients on Remicade to Inflectra. Since that time, trough levels have steadily dropped to where I'm near rejection & TERRIFIED to start developing abscesses & fistulas again- I'd rather die. Seriously.
I'm now writing to Medicare Commissioner who's probably some paper pusher w/o any IBD training to SAVE MY LIFE & give back my Remicade. Insanity. My doctor is  writing a letter on my behalf but she told me that she has been denied EVERY SINGLE TIME she's requested her patients moved BACK to Remicade. It's criminal that insurance companies pick drug therapy for a disease that literally BURROWS HOLES through my body. I am only 42 & deserve a chance.",i've remission since early 2018-.trough level high 20's.,inflectra,infliximab,crohns disease,NEGATIVE,0.9987708926200867
3,inflectra infliximab for crohns disease,1.0,"I have Fistulizing Crohn's, dx'd 6 yrs ago @ 36yo- 11 surgeries since then: abscesses, fistulae, drains. 
Years of my life, my career, independence & ability to have biological children lost but Remicade saved my life. I've been in Remission since early 2018-.Trough levels in high 20's.
At JUST that time, my insurance made mandatory switch: ALL patients on Remicade to Inflectra. Since that time, trough levels have steadily dropped to where I'm near rejection & TERRIFIED to start developing abscesses & fistulas again- I'd rather die. Seriously.
I'm now writing to Medicare Commissioner who's probably some paper pusher w/o any IBD training to SAVE MY LIFE & give back my Remicade. Insanity. My doctor is  writing a letter on my behalf but she told me that she has been denied EVERY SINGLE TIME she's requested her patients moved BACK to Remicade. It's criminal that insurance companies pick drug therapy for a disease that literally BURROWS HOLES through my body. I am only 42 & deserve a chance.","time, insurance made mandatory switch: patient treatment_name treatment_name.",inflectra,infliximab,crohns disease,NEGATIVE,0.9764935374259949
3,inflectra infliximab for crohns disease,1.0,"I have Fistulizing Crohn's, dx'd 6 yrs ago @ 36yo- 11 surgeries since then: abscesses, fistulae, drains. 
Years of my life, my career, independence & ability to have biological children lost but Remicade saved my life. I've been in Remission since early 2018-.Trough levels in high 20's.
At JUST that time, my insurance made mandatory switch: ALL patients on Remicade to Inflectra. Since that time, trough levels have steadily dropped to where I'm near rejection & TERRIFIED to start developing abscesses & fistulas again- I'd rather die. Seriously.
I'm now writing to Medicare Commissioner who's probably some paper pusher w/o any IBD training to SAVE MY LIFE & give back my Remicade. Insanity. My doctor is  writing a letter on my behalf but she told me that she has been denied EVERY SINGLE TIME she's requested her patients moved BACK to Remicade. It's criminal that insurance companies pick drug therapy for a disease that literally BURROWS HOLES through my body. I am only 42 & deserve a chance.","since time, trough level steadily dropped i'm near rejection & terrified start developing abscess & fistula again- i'd rather die.",inflectra,infliximab,crohns disease,NEGATIVE,0.997393012046814
3,inflectra infliximab for crohns disease,1.0,"I have Fistulizing Crohn's, dx'd 6 yrs ago @ 36yo- 11 surgeries since then: abscesses, fistulae, drains. 
Years of my life, my career, independence & ability to have biological children lost but Remicade saved my life. I've been in Remission since early 2018-.Trough levels in high 20's.
At JUST that time, my insurance made mandatory switch: ALL patients on Remicade to Inflectra. Since that time, trough levels have steadily dropped to where I'm near rejection & TERRIFIED to start developing abscesses & fistulas again- I'd rather die. Seriously.
I'm now writing to Medicare Commissioner who's probably some paper pusher w/o any IBD training to SAVE MY LIFE & give back my Remicade. Insanity. My doctor is  writing a letter on my behalf but she told me that she has been denied EVERY SINGLE TIME she's requested her patients moved BACK to Remicade. It's criminal that insurance companies pick drug therapy for a disease that literally BURROWS HOLES through my body. I am only 42 & deserve a chance.",seriously.,inflectra,infliximab,crohns disease,POSITIVE,0.9988921284675598
