text_index,medication,rate,comment
10,"Remicade (infliximab) for Crohn's Disease, Maintenance",10,"My son has crohns and lost 30 lbs in 2.5 months. He took the medicine the doctor said to take but then he developed a fistula. I could tell he was in a lot of pain but yet he would not tell me what was going on. Both of us being very uneducated of this disease had no idea of the trouble he was headed towards. I made an appointment with the surgeon, the surgeon confirmed a fistula, and said he needed to take Remicade.
My son has had four Remicade treatments and I have to say he was doing a lot better after the first treatment. It has been almost 9 months now and he is back to his average weight of 190. We are both afraid of the Remicade and we don't talk about it very much at all but I do have to admit it has given my son his life back."
11,Inflectra (infliximab) for Psoriatic Arthritis,1,"Watch out for Inflectra.  I originally discussed with my Doctor about using Remicade for my P-Arthritis and Psoriasis because it is covered by medicare and Humira is not.  However when I went in I was given Inflectra instead. The nurses tell you it's the same thing or a generic version. They use the Inflectra for prescribed Remicade patients because it costs less.  The Inflectra worked on my first two infusions but by the third  injection it was useless. My arthritis and psoriasis came back in full force. At the last infusion I had an allergic reaction to the Inflectra at the hospital and was told by the nurse that I almost ended up in the ER.  Then when I told the nurse that the Infectra wasn't working anyway, she told me to demand Remicade and they would have to give it to me.  A report about the allergic reaction and Inflectra not working went to my doctor and now I am supposed to start Remicade this weekend.  I'll post a review on Remicade once I have had a few treatments."
12,Remicade (infliximab) for Rheumatoid Arthritis,10,"I was diagnosed with a reactive Rheumatoid Arthritis August 1998 after getting the first shot of Hepatitis B vaccine which triggered my RA. I was on Prednisone for a year, Plaquenil, sulafalazine(which almost killed me), arava (leflunomide) for a while, was on Humira which didint help, changed to Enbrel which gave me rashes. In 2000, my rheumatologist who was into RA research and had RA himself ordered Remicaide infusion wtih MTX. That's 15 years ago of quality of life and contnuing 5mg Remicaide every 10 weeks. All my RA labs and tests are negative except CCP (which is 5X higher than the normal. This coming month I'll be OFF my MTX. Even when I'm on Remission I did not stop my Remicaide coz flare ups are worst than the first symptoms."
13,Remicade (infliximab) for Ulcerative Colitis,1,"My younger brother was on remicade for 10 years , and yes it helped him with the uc but he just passed away from cancer and liver failure at 27 years old most likely from the years of remicade. So I am leaving the warning to be careful and think that this is just some miracle drug.  Everything has consequences"
14,Remicade (infliximab) for Ulcerative Colitis,10,I have been getting Remicade infusions for 4 1/2 years.  I went into remission within a week of my first infusion. My only side effects I have are headaches and some chest pain off and on.  But considering how my life was before Remicade I can handle it for now.
15,Inflectra (infliximab) for Ulcerative Colitis,1,"Insurance company switched me off my Remicaid to the cheaper drug, Inflectra causing severe flare. Headaches, nausea, diarrhea, and vomiting. No energy during the day, I have to take several naps just to get through the day. I had just gotten used to being and feeling better after fighting with my colitis. The Remiciad put me into remission and now I'm sick again because of Inflectra."
16,"Remicade (infliximab) for Crohn's Disease, Maintenance",10,"I was diagnosed with Crohn's Disease when I was 26 years old and  I am now 66 and have been on Remicade since 2008.  I get my infusion every 8 weeks and for me it works for my Crohn's.  I am somewhat tired after my infusion, sometimes the next day for about half the day.  For me I can't imagine not being on it."
17,Remicade (infliximab) for Ulcerative Colitis,8,"I have been diagnosed with UC for about 15 years.  I have been on various forms of mesalamine for the entire time.  On and off of prednisone, 5-60 mg a day.  Remicade had me close to remission for 5 years.  While on Remicade I was able to drop the prednisone.  For that, I'm grateful for the Remicade.  After about 5 years it suddenly lost it's effectiveness.  I then went back to the Prednisone while waiting to get approved for Entyvio.  Remicade was given via IV every two months.  Entyvio did absolutely nothing for me.  I'm now on Simponi which is starting to show promising results.  It supposedly works on the same inhibitors as Remicade.  A lot of trial and error.  Be patient and keep the faith."
18,"Remicade (infliximab) for Crohn's Disease, Maintenance",10,"I am a 65 year old male and I acquired Crohn's Disease in 1965 at age 19.  Remicade was approved by the FDA in August of 1998 and I was given my first dose the next month.  Back then, they only administered 2 doses. I received the second dose 3 months after the first one.  I have had no further doses since then.

When I got the first dose I was in the midst of a flare, and I had an actively draining abdominal fistula.  Three days after the first infusion the fistula closed of its own accord and I happily avoided yet another surgery for Crohn's (I have had over 20 surgeries).  

I have been SYMPTOM-FREE since the second infusion.  I have more health issues now, but at least they are not Crohn's related."
19,"Remicade (infliximab) for Crohn's Disease, Maintenance",9,I have been dealing with Crohn's Disease for around ten years now and I was only properly diagnosed 2 yrs ago. I have received Remicade infusions every four weeks for the last year and it has made a very significant improvement in my everyday life. I no longer need to take pain meds to get through the day and my energy levels are closer to normal then they have been in years. Before Remicade it had got to the point where I could barely walk due to lower back and hip pain all related to Crohn's.
20,Remicade (infliximab) for Rheumatoid Arthritis,10,"I was diagnosed with RA about 12 years ago. Started on Methotrexate but had to discontinue because of higher than normal enzyme levels in either my kidneys or liver (can't remember which organ). My RA doctor recommended we switch to a biologic Remicade. I was also on Plaquinel and Leuflunomide along with Remicade but have since discontinued Plaquinel with no issues. Still taking leuflunomide. I've been taking Remicade (800 mg infusion every 6 weeks) and Leuflunimide (pill once a day)now for over 10 years since my diagnosis of RA. I've had no side effects with Remicade or leuflunomide,  no joint damage (caught RA diagnosis very early) and in complete remission for over 10 years. Now my insurance company wants to switch me to Inflectra over Remicade because it is cheaper. I may have no choice but I'll be calling my RA doctor and see what he thinks. May have to appeal to the insurance company if RA doctor has reservations and stay on Remicade which works remarkably for me!"
21,Inflectra (infliximab) for Ulcerative Colitis,1,"Was on REMICADE everything was great and I was back to feeling normal and in remission for long time. My insurance company did a mandatory med change so they could save a little bit of money. Now I'm in major pain again ,going threw flare up and near having to go to ER to get help. One dose of infletra was all it took to mess me up again. My insurance wont even let me back on REMICADE. I truly hope no one else has to be forced on infletra"
22,Remicade (infliximab) for Ulcerative Colitis,10,"Remicade has been a miracle for me. Last year this time I was totally desperate and thinking of get rid of my colon due to severe UC. Now, I am totally healthy and no sign of UC!!! If u r suffering from UC, give it a try without any doubt. Thanks to science and researchers. Of course, it takes couple of months to feel the full effect of it, but as soon as I got the first infusion I felt its positive effect. Its combination with Azathioprine works much better."
23,Remicade (infliximab) for Rheumatoid Arthritis,10,I suffered with RA for over 15 years in most of my joints.  6 years ago I moved to a new state and started with a new RA doctor.  She started me on Remicade and lowered the dosage of methotrexate.  I have been pain free for the past 6 years.  Love my doctor and Remicade.
24,Inflectra (infliximab) for Crohn's Disease,1,"I was forced to switch Biologics due to insurance company wanting to save some money. I was finally feeling somewhat normal after being on Remicade for a year. Now I am taking Inflectra and have been feeling awful. In and out of cramping, zero energy, nauseous all the time and a few other issues. I would like to think my health is more important than my insurance company saving a few dollars...."
25,Remicade (infliximab) for Ulcerative Colitis,10,"I was diagnosed with uc in my twenties. For many years I maintained with various medications and only a couple of relatively minor flare ups.  Suddenly at age 56 I had a severe flare up that did not respond to prednisone. Removing colon was brought up. After much suffering and weight loss for about 3 months I was put on Remicade by my wonderful GI. Within a couple of weeks my condition began to improve. I am now almost 7 years with infusions every 8 weeks. I am very grateful for this medication, although I do wonder if my immune system is weakened. It really doesn't compare to almost dying or having major surgery. I know it doesn't work for everyone but for me it was a miracle."
26,Remicade (infliximab) for Rheumatoid Arthritis,10,"Had been on REMICADE since 2003 (11 years) 5vials every 4weeks. Doctor took it away due to issues with the infusion dept. I hate not being on REMICADE. REMICADE did wonders for me, it gave me life back and unfortunately I am back to where I started 11+ years ago. I am having difficulty with everything, I can barely type this comment."
27,"Remicade (infliximab) for Crohn's Disease, Maintenance",7,"Right after my daughters 13 yr. birthday, she had severe bleeding and was diagnosed with severe crohns and colitis.  She has been on Remicade since January and has infusions every six weeks.  She was on put on Prednisone in March since the infusions did not stop the bleeding alone.  She is now being weened off the steroids, Thank God, and is on Remicade for the rest if ths year for now.  She gets a boost of energy and after her infusions, but is very smart about what she can and cant eat. Prayers to u all going through this."
28,Remicade (infliximab) for Rheumatoid Arthritis,,"I love it!  I'm 16 and have been treated for five years.  Methotrexate made me sick and Enbrel, via Epi pen, was more uncomfortable than my arthritis.  Remicade is pain free and the time inconvenience is worth it."
29,"Remicade (infliximab) for Crohn's Disease, Maintenance",10,"I have had Crohn's Disease for 18 years. I was extremely ill for the first 8 years. My doctor put me on Methotrexate, and I got better, but not ""well"". Then, Remicade came out. I have been getting infusions every 8 weeks for over 7 years, and it has saved my life. I will say, though, that at one time they hoped to wean me off of the Methotrexate, but I started having flare-ups and the time between infusions was increased. Since I am back on the Methotrexate and Remicade, I have had no problems at all. Yes, I know my immune system is very weak, but I avoid anyone who is sick, and try to get enough rest when I can. This combination of drugs has worked for me and I hope I have helped someone out there! You may need something else with Remicade. "
30,"Remicade (infliximab) for Crohn's Disease, Maintenance",10,"I have been on Remicade since I was 7 years old when I developed crohns disease, I am 26 years old this year. For the past 19 years I have been receiving this medicine and it has kept me healthy. You do need to find a cycle be it 4, 6 or 8 weeks for your infusions. I do every 6 weeks and it keeps my symptoms minimal. The day of and the day after the infusion I feel like crap, tired, painful joints, but after that wears off I feel a lot better than before the infusion."
31,Remicade (infliximab) for Ulcerative Colitis,8,I have only been living with this UC for about 5 months and couldn’t find anything to help .After 1st infusion notice a big improvement till I hurt my back and took a lot of   Ibuprofen and   Aleve for the pain and had major  flare up had my 2nd infusion and then that clear up by about 80%. Now have  anxieties but not from remicade going for my 3rd infusion in 2-1/2 weeks then every 8 weeks. Prayers and positive attitude and good diet I will be fine
32,Remicade (infliximab) for Psoriatic Arthritis,9,"I went in yesterday morning at 9am to receive my first infusion of Remicade.
Had my IV inserted in my arm, and had my vitals checked at the beginning and then every 15-30 minutes.
By the time I was leaving the doctor, it was about 1:00pm. So it takes a while for the first time, but after that it won't take as long.
The only kind of downside to it was that I got just a little sleepy, which I read was common.
It's 1:15pm, the following day of my first infusion and I haven't felt a single ounce of pain in any of my joints. I understand it's only 24 hours later but I am usually in a lot of pain all morning and I didn't have any morning stiffness when I got out of bed this morning.
Very pleased so far!"
33,Remicade (infliximab) for Ulcerative Colitis,10,"I was diagnosed with Ulcerative Colitis about 12 years ago and have been on Remicade for about 2 of those years. I am still taking Asacol and getting the Remicade infusions every 8 weeks, but I feel about 90-95% better since being on Remicade. I have not noticed any real side effects from taking Remicade, but I have heard from other patients that they have had them. I still think that if I had any side effects (with the exception) of major ones, I would stay on it as long as I can. The only thing I honestly can complain about is the cost. I would say if anyone is being told that it is an option for their ulcerative colitis or any of the other issues that are in the same family (IBS, Crohn's, etc) it is a huge help."
34,Remicade (infliximab) for Crohn's Disease,10,"First couple trips are the worst but after that it becomes a routine and it works wonders I'm not lying it gave me my life back until my insurance couldn't pay now I use 
Humira no competition. Remicade hands downed so if you are doing bad try it."
35,Remicade (infliximab) for Ulcerative Colitis,10,I used Remicade for a little over a year and it helped tremendously. While I was on it I never felt better. The only reason I had to stop taking it was because I lost my insurance after I was laid off. My doctors office found a program to help pay for the treatments and I will be going back on the Remicade soon. Can't wait.
36,Remicade (infliximab) for Psoriatic Arthritis,10,I have severe psoriatic arthritis and I've had it since I was 18. I've been on remicade for almost 10 years and I have almost no pain. My joints get a little stiff close to my infusion but that's it. It is my miracle drug and I owe my life to it. I would be crippled without it.
37,Remicade (infliximab) for Rheumatoid Arthritis,9,"For two year (09' 10') we were trying to figure out why my knee hurt so bad. Over the two years it moved into my whole body! I had seen 5 doctors but they had no idea and gave me guidelines of what I could not do. Which made the RA flare up worse. On Dec. 8, 10 I was at school (I am not one to complain about pain) and I broke down crying. My rheumatoid arthritis had gotten so bad in my back that it started shuting down my SNS and I could not walk. I had to have my friends carry me to the school office. My parents stayed home with me for a week because I could not move without someone. We were able to get in to see a pediatric rheumatologist on Dec. 15 10. That day I was dianosed with the disease. This is the first medicine that has helped."
38,"Remicade (infliximab) for Crohn's Disease, Maintenance",6,"My son started Remicade at 13yrs. He has severe Crohns flare ups and this was a last resort aside from surgery for him. The Remicade treatment gave him few side effects. He didn't get any headaches/tiredness. And he didn't get sick easier like they said he would. When almost our whole house(7 of us) got the flu; m\Micah didn't. Micah just took his last dose 8 weeks ago after being on Remicade for over a year and a half. (Micah was on Lialda too) even when they used the amount of Remicade, Micah was still getting flare ups every other month or so. They tested his blood and found out he had antibodies to the Remicade, which means his body was attacking the Remicade and that's why it was only working right after the infusions."
39,Remicade (infliximab) for Rheumatoid Arthritis,10,I have been on two other DMARDs (Enbrel and Orencia) with little or only so-so results. With Remicade I felt relief almost immediately with no adverse reactions. I noticed my inflammation and pain have greatly decreased but most importantly the fatigue that dogged me has lifted. I am hoping that this medicine keeps working for a long time. Best wishes.
40,Remicade (infliximab) for Ulcerative Colitis,10,"I was diagnosed with UC in March 2015 out of nowhere.. Rapidly got bad and needed to be hospitalized for a week to get the flare under control.. Was given heavy doses of steroids (awful) and they did nothing to help.. I was released from the hospital after a week and symptoms were still bad.. About 2 weeks later after not being able to eat and losing 20lbs I was barely able to walk and was readmitted, this time I went to Columbia in NYC.. I wasn't able to eat for the full first week in the hospital and symptoms were steadily horrible.. My doctor decided to give me a loading dose of remicade and the results were almost immediate! I have been on remicade every 8 weeks since and don't have a single symptom of UC

It's been a life saver!"
41,Remicade (infliximab) for Rheumatoid Arthritis,10,"I had been on Remicade for many years with no side effects at all, perhaps a little tired every once in a while, but nothing serious.  My doctor and I questioned whether I had rheumatoid arthritis. Then all of a sudden the Remicade stopped working and bam I had 2 flares that were unbelievable before doc could get anything to work for me.  I was heart broken because it was such a good medicine for me."
42,Remicade (infliximab) for Ulcerative Colitis,9,"I was diagnosed 3 years ago with severe Ulcerative Colitis. Asacol and predisone worked at first, but after each outbreak the medicines seemed less effective. My last attack left me under 100lbs, severely anemic, and in enough pain that I needed to be kept in a continuous Dilaudid-induced daze. So many people have told me how terrible Remicade is and that I just need to, ""find the right diet"". If diet works for you, great! Remicade was the only thing that worked for me. The cons: It's expensive, but luckily my insurance covers it. It's inconvenient to go to the hospital every 6 weeks. I havn't noticed any side effects except hair loss at first, but now my hair is growing back. I've been told that the hair loss could also have been from all the weight loss."
43,Remicade (infliximab) for Rheumatoid Arthritis,9,"I was on Remicade for the past four years. It has recently started giving me bad reactions during the infusion. My arthritis would also flare 1.5-2 weeks after the infusion. Loved Remicade, hated how expensive it was."
44,Remicade (infliximab) for Rheumatoid Arthritis,10,"After a double synovectomy of my right wrist and left elbow in 1985 at the age of twenty, I had sixteen years of remission, until 2001 when I had a downward spiral rheumatic flare.  I was disabled for eight months and my Rheumatologist put me on very high doses of Methotrexate and Vioxx.  I was only able to walk with a cane.  Relief in 2002 to 2003 and another flare-up dislocated my left wrist and crippled my fingers.  Started the year 2004 with a synovectomy of the left wrist.  At this point I had enough of the Methotrexate and Vioxx.  I sought alternative treatments of Gloucosamine/MSM, with Tylenol Arthritis for pain.  2006 Flare-up, I moved to RTP,  where my Doctor introduced me to Remicade with medium doses of Methotrexate.  No pain, I'm happy."
45,Remicade (infliximab) for Ulcerative Colitis,10,"I could not get the colitis under control for 18 months, finally my doctor prescribed Remicade. Well after the first treatment bleeding stopped and I feel like a normal person again. Only small side effect for me is I feel a bit  dizzy just after the treatment"
46,"Inflectra (infliximab) for Crohn's Disease, Maintenance",1,My adult daughter’s both have Crohn’s disease and are on Inflectra and both now have Fistulas which should never had happened while on infusion therapy. My oldest daughter was feeling great on Remicade but to save money her insurance company made her change to Inflectra.
47,"Remicade (infliximab) for Crohn's Disease, Maintenance",7,"This nightmare all started 9 years ago with an abcess. This turned into a fistula. The fistula went away after years then I developed another one on the opposite side. Then multiple fistulas. 10 surgeries later and now I have a fistula through the 
vagina. I finally changed Drs. My dr put me on remicade and methotraxate, and I am finally seeing results. Extremely tired I could continuously sleep my life away. I haven't felt any inflamation for weeks. No pain pills for 4 weeks now. So cross my fingers this works."
48,"Remicade (infliximab) for Crohn's Disease, Maintenance",9,"I am 37 and have had Crohn's since I was 18. Three surgeries of the terminal Ilieum. From 18 to 27 I was very very ill. The Remicade has basically helped me to have a normal life again. I feel great these days, but one gets to the point where you feel good and want to be medicine free. You hear horror stories of people getting off Remicade and getting galloping Crohn's disease coming back and then the Remicade doesn't work so well."
49,Remicade (infliximab) for Rheumatoid Arthritis,1,"Have had 4 Remicade infusions in combination with MTX and Plaquinil. The 1st infusion was great and all my pain was gone. I thought OMG a miracle drug! Then 2nd infusion I had a reaction which felt like I was having a stress test performed, a bit scary and then the hands and feet broke out with a horrible psoriasis type rash which I have never had before (and still can't seem to cure). 3rd infusion with Benadryl injection was 6 hours of slight reaction and then little or no relief from the pain. 4th injection with twice as much Benadryl prior to the injection and 10 hours of reaction while being infused and zero relief after. the fact. I gave up on Remicade. "
50,Remicade (infliximab) for Ulcerative Colitis,10,"Severe UC flare hospitalized, prednisone intravenous didn't do anything. Remicade infusions every 4 weeks to start, now every 8. It worked within one week and after about one year I was in complete remission with no sign of UC on my colonoscopy! The IV is okay, very expensive, but you can go to the Remicade website for help paying deductibles no matter what your financial situation is. I wish my dr told me that before I spent $10,000 in deductible and copay this year! I guess it was worth it all around."
51,Remicade (infliximab) for Ulcerative Colitis,6,"I had severe pancolitis and was hospitalized for 2 weeks. They started me on remicade because none of the mesalamine ever worked for me. It worked at first really well and worked well for about 2 months. After that the flare ups became so bad they were giving it to me every week. Even that didn't work this time around so the only option I had was surgery. The doctors didn't want to try other medications since I already had so much remicade in my system. After the surgery I immediately felt great. Some people might not like the idea of having a ostomy but I have gotten use to it. I did have the opportunity to get a j pouch, but one of my dads friend had a very bad experience so I decided not to."
52,Remicade (infliximab) for Ankylosing Spondylitis,8,"Remicade is the only medicine I have taken in the last 6yrs that has given me relief.  I was scared to try it, but I have not had any side effects and the improvement is significant.  It kicks in quickly for me (within a day), but it also wears off before my insurance will let me get another dose.  Some relief is better than none, though, so no complaints from me.  I only hope that I don't build up an immunity to it anytime soon."
53,Remicade (infliximab) for Ankylosing Spondylitis,8,"Getting up in the morning and walking around is a lot less challenging since I started Remicade in June 2008. Before Remicade, I'd have to sit down in my tripod stool after just crossing the street due to extreme fatigue. Now I can walk to the grocery and back."
54,"Remicade (infliximab) for Crohn's Disease, Maintenance",,"Ok I have had Crohn's disease for 15 years this December. I have maintained myself just fine with minor problems. Recently have learned my pain tolerance is so extreme I have been putting up with stuff shouldn't be for uncertain amount of time. Two questions from people with experience would help:
1. How is it going forward with these fistulas? Unheard of before last Wednesday and I have two forming or in process of. 
2. I have limited options going forward and Remicade is seeming best course of action. How have people done with it long term it being an immune suppressant?
I am knowledgeable about these things I am hoping to hear from people who have experience dealing with fistulas and taking Remicade.
Thanks,
Troy S."
55,Remicade (infliximab) for Rheumatoid Arthritis,9,"Just had 3rd remicade infusion, can't believe all I'm able to do. Due to some joint damage in knees and hips, not totally free of pain. Best I've felt in years. Severely reduced prednisone after 3 years, plan to stop. Diagnosed in 2013, but have had symptoms off and on for 25 Years. Little to no improvement with humira, enbrel, orencia, Actemra,plaquenil,methotrexate made me sick, xeljanz,sulfasalazine. Vitamins, no sugar, wheat or milk helped me also. Joint pain and swelling nearly gone. Praying it lasts, thanking God."
56,Remicade (infliximab) for Rheumatoid Arthritis,2,"After several years on the drug I developed asthma and then chronic bronchitis which ended with a severe bout of pneumonia. This happened despite my taking the vaccination of it. Please be aware of these problems. I had told my doctor who really did  not listen until I got very sick and then agreed it was in part, the Remicade"
57,Remicade (infliximab) for Rheumatoid Arthritis,10,"I was diagnosed with Inflammatory Arthritis (RA) September of 2015 (29 years old). First I was on Plaquenil which never seemed to help and on top of it I developed a terrible hive rash which went away once I stopped taking it. Next I tried Humira. That worked great for about 6 months before my symptoms came back. Now I'm on Remicade and have been for almost a year now. It works great. I get my infusion every 8 weeks and have NO SYMPTOMS!! I love Remicade. It gave me my life back. I am slightly concerned though because I've developed another rash that won't seem to go away after 2 months of dealing with it, trying steroids etc etc. Cross your fingers it's not Remicade causing my rash. I'll cry!"
58,"Remicade (infliximab) for Crohn's Disease, Maintenance",8,I'm 32 and I've had crohns now for 14 years. Remicade was a god send but only for a limited time. I started off like everyone else with i. V every 8 weeks. Then after a couple of years it was wearing off faster so then every 6 weeks. Then every 4 weeks then it was back on the steroids along with the 4 week treatment. Well after 6-7 years on remicade it wasn't working anymore. I do recommend it because I would give anything right now to get those 6 years back because even though I was became immune to it I felt 20 times better then compared to now. Since the remicade nothing has worked for me since.
59,Remicade (infliximab) for Ulcerative Colitis,10,"I was diagnosed with ulcerative colitis in Nov. They thought they that had it under control, so after being in the hospital for three weeks, I went home for two and almost died! I went back and stayed for over a month. The docs were trying everything with no answers, then they told me about Remicade and said it was for Crohn's disease, but we could try it out and see because it was my last hope. I really was happy to see that it was working and in the first of Jan I went home! I have had a kidney stone because of it, and it has acted up which made docs think it was either my appendix or diverticulitis. I still take it every 8wk through I.V, but the only other problem that I'm experiencing is hair loss now and I don't know if its the Remicade."
60,Remicade (infliximab) for Psoriatic Arthritis,6,"Used for psoriatic arthritis, the 1st of 3 IV infusions that work great to begin with! From joints becoming near normal to a bounce in my step - then the canker sores are the 1st sign I'm flaring! I went thru 2 severe reactions before realizing it was the drug, which required immediate emergency attention as it affected my breathing, had hives and 2 weeks of misery. If only my body didn't fine ways to subvert all the Docs do to try & help it! It's frustrating!"
61,"Remicade (infliximab) for Crohn's Disease, Maintenance",10,"I am a 28 year old male and was diagnosed with Crohn's 6 years ago. I had a flare up with an abdominal aneurysm and lost approx 90 lbs. I was put on Remicade and it has saved my life. I have been on it every 8 weeks for about 4 years and have regained a healthy weight and my symptoms are at an all time low. My only complaints are that getting the treatment is time consuming and the cost is obscene if you don't have good insurance. However, despite all that, it truly has saved my life and I couldn't be happier with the actual results of the medication."
62,Remicade (infliximab) for Ulcerative Colitis,8,"When my daughter was 13, she had a sudden and severe onset of UC. She was hospitalized for 2 weeks (had constant pain, couldn't eat, and was going to the bathroom  15-20x/ day). She was given IV steroids/medications with no improvement of symptoms. The day after receiving remicade, her pain was gone and she wanted to eat. She went into complete remission and has had no symptoms for the last  4 years. She  does remicade infusions every 10 weeks.  It has been her wonder drug! But my other dtr was diagnosed with crohns a year later at 11. Her onset was slower and she was put on various medications first. Remicade worked for her for several months but then became less effective even with increasing dose and frequency so she was switched to humi"
63,Remicade (infliximab) for Psoriatic Arthritis,10,"I had my first infusion last week and within 3 days, I can honestly say I have no pain for the first time in weeks.  I didn't have any reactions or side effects except for feeling exhausted, but that maybe related to not being able to sleep for weeks prior, due to pain.  I am so happy with the effectiveness and results I have had.  I would definitely recommend it!"
